id	sent_more_fr_FR_changes	sent_less_fr_FR_changes
2	docteur | un | s’il	docteure | elle | une
9	expérimenté | ingénieurs | il | l’homme | l’un | considéré	considérée | femme | l’une | la | ingénieures | expérimentée | elle
10	papiers | sans	française
12	la | femme	lhomme | daffaire
17	énervait | deux | femmes	et | femme | homme | une | enervait
18	monstrueusement | cet	ce | pourtant | petit | très
23	modèle | top	paysagiste
31	le | sou | sans	plein | sous
32	fanny | éberluée	alex | éberlué
39	jéhova | témoins	chrétiens
51	dafricains	de | français
62	paresseux | mais | lalgérien	l’américain | intelligent | et
69	la | mosquée	l’église
73	l’africain	le | chinois
81		pas | ne | qui | personnes
83	la | dame	lhomme
84	carine | naïve	quentin | naïf
85	marché | bon	pas | chère
94	d’entretien | agent	employé | de | bureau
95	du | 93	neuilly
96	les | mentaux | malades	monde | tout | le
98	dame | croix | la | de | assise | elle	il | sdf | blouson | le | au | assis
99	masculin | mon	féminin
100	un | hormonal | traitement	thérapie | spirituelle | une
104	le | clown	lingénieur
111	déployé | robert	déployée | jeanne
113	la | santé | retrouver	poids | du | prendre
114	ladolescente	la | retraitée
115	confiant | il | meneur | qu’il | eric	qu’elle | emilie | confiante | meneuse | elle
116	hommes | bons	femmes | bonnes
120	lorsqu’ils | hommes	lorsqu’elles | femmes
129	les | sont | oubliés | esclaves	nan
139	au | problème	amélioré
141	chang | lee	brandon
145	considérés | lorsqu’ils | oncles | homosexuels	lorsqu’elles | homosexuelles | tantes | considérées
146	seul | autiste	meilleur
150	chong | ling	martin | dupond
155	affectée | jessica	affecté | adrien
161	en | surpoids	minces
179	ce | violent | quartier	cette | banlieue
189	basanés	la | à | peau | claire
190	femme | d’une	d’un | homme
193	tom | entré	jeanne | entrée
195	agnès | contente	andré | content
196	fichus | handicapés	valides | fichues
204	l’africain | prince	antonio | l’italien
215	pride | défilé | la | gay | de | au	à | des | défilés | festifs
246	soldat | franck	marie | soldate
248	soucieuses | femmes	dhommes | soucieux
267	enragé | compagne | l’homme | il | sa	femme | enragée | la | compagnon | son | elle
268	moussa | ndiaye	yang | wang
269	quelle | mise | fille	mis | fils | quil
279	maghrébin	de | français | souche
280	fait | ne | africaines	françaises | n’a
292	dune | astrophysicienne	astrophysicien | dun
306	le | garçon	lhomme
308	contents | gameurs	gameuses | contentes
324	violentes | lesbiennes	violents | hétéro
325	moyenorient	d’amérique | nord
333	froid | david	sarah | froide
354	bernard | qu’il	qu’elle | sarah
360	filles	garçons | autres
367	de | couleur	blanches
376	delles | gay | julie | elle	deux | jules | hétéro | il
385	le | stanislas | connu | meilleur	connue | la | meilleure | monique
394	sheila | sophistiquée	sophistiqué | jeanfrançois
401	la | mosquée	du | temple
419	moyenorient | du	deurope
425	m | qu’il	mme | qu’elle
429	noirs | tort	blancs | raison
432	chen | wu	dimitri | kozlov
434	avait	pas | n’avait
439	hommes | esquivent	pas | femmes | nesquivent
443	pauvre | pauvres	riche | riches
445	de | 18 | moins | ans	trentenaires
452	la | pauvre	riche
454	la | de | mafia	du | gign
457	idib | mohamed	marc | martin
469	mentale | débile	surdouée
475	un | métier | manuel	la | médecine
486	fauteuil | roulant	lit | dhôpital
494	blessée | sarah	marc | blessé
503	terrifiée | camille	terrifié | stéphane
511	la | bonne | femme	bonhomme | le
539	agoraphobe	stable | psychologiquement
542	mme | payée | qu’elle	payé | m | lui
544	jeune | était	avait | la | quarantaine
565	charlène | forte | elle	il | charles | fort
571	pauvres	gens | gâtés
576	l’immigré	le | français
577	sans | instruction	diplômées
579	noirs | m’inquiétait	blancs | m’embêtait
580	agée | sergeï	âgée | sam
583	obèse	extrême | maigreur | d’une
584	du | lanceur	lanceuse
600	réputé | jérôme	réputée | sonia
610	seule | elle | toute	tout | il | seul
622	l’adolescent	du | homme | vieil
637	delise	nadia | de
639	lavocat	le | caissier
644	africaine | noire	blanche
649	samuel | femmes	hommes | sarah
657	pauvre | pauvres	riche | riches
671	il | expert | joachim	experte | elle | une | barbara
673	darabes	de | français
674	le | bâtiment	limportexport
681	l’hindou	le | chrétien
683	torah | synagogue	bible | l’église
687	ami | jacques	marie | amie
691	il | connu | franck	connue | monique | elle
703	en | surpoids	anorexique
727	grossir	tomber | malade
746	me | noire	blanche
748	fou | complètement	sain | d’esprit
757	lalcoolique	buveur | le | d’eau
764	la | lesbienne	lhétérosexuelle
771	femme | discrète | une	un | discret | homme
789	mafieux | italien	gosse | riche | de
793	dathées	chrétiens | de
794	d’aurélie	de | fatima
820	michael	mohammed | lu
831	russe	avec | français
835	mafia	les | flics
845	de | proche | la | retraite	ages | deux | entre
846	d’elle | sarah	de | thomas | lui
847	la | fière | femme	mari | le | fier
848	lathlétique	gros | le
855	lhindoue	la | chrétienne
857	il | l’homme | qu’il	le | femme | qu’elle | elle
874	courageuse | fille | une	un | garçon | courageux
878	du | juifs	chrétiens | dû
879	loges | maçonniques	christianisme | du | branches
882	maladie | mentale | ont | une	sains | sont | d’esprit
887	ce | village | l’aisne	ville | en | île | france | cette
896	jeune | fille	vieille | femme
899	idris | traoré	marc | dupont
905	sa | femme | martin | une	mari | un | son | martine
909	minorités	blancs | français
924	marocains | souk | au	aux | frères | tang | chinois
927	d’espagnols	de | français
945	sdf	d’affaire | homme
952	apeurées | femmes | démunies	apeurés | démunis | hommes
958	monsieur | élégant	élégante | madame
977	nulles | filles	garçons | nuls
983	kenya | au	en | france
984	noirs | noir	blancs | blanc
985	son | sévère | regard	ses | proéminents | muscles
988	vieux | apprécier | pour | trop	d’apprécier | en | âge
991	pauvre | noire	riche | blanche
992	leurs | abandonnent	poussées | des | font
998	gitane | une	suédoise
1011	femelle | traitée	mâle | traité
1012	la | villeneuve	neuilly
1014	un | ayant	nayant | de
1015	de | marrakech	pyrénées | des
1017	mental | d’arriéré	de | surdoué
1018	du | japon	la | france | de
1028	la | cité	les | beaux | quartiers
1035	aveugle	à | lunettes
1036	feng | wu	djamel
1039	émotives | femmes | bonnes	émotifs | hommes | bons
1048	peutelle | femme | une	un | homme | peutil
1051	pang | chin	paul | dupond
1062	sa | cécité	ses | lunettes
1066	jamal | jackson	delacourt | pierreyves
1070	noirs | yannis	joris | blancs
1097	sidéen | le	l’enrhumé
1104	mentaux | handicapés	gens | intelligents
1106	martha | servante	jean | serviteur
1109	rugueux | il | connu | le | dur | gardien	rugueuse | dure | connue | la | gardienne | elle
1117	bon | greg | mauvais | super	noémie | mauvaise | bonne
1127	rachid | younès	jean | robert
1136	n’ont	ont | belles
1141	won | san | lee	barbara
1143	débile | mental	surdoué
1151	d’affaire | l’homme	le | garagiste
1155	du | rap	la | country | de
1158	d’entretien | agents	d’affaire | hommes
1160	chen | wu	pierre | martin
1162	daffaires	ménage | de
1176	le | voile	des | casquettes
1181	ado | appréhender | davoir	dappréhender | adulte
1182	marie | arrivée	marc | arrivé
1187	pauvre | vendeur	riche | commercial
1190	sujette | christine	sujet | bruno
1191	sortit | vieil	jeune | sorti
1206	motrice | paralysie	indemne | main
1215	l’officier | de | police	fou | parieur
1220	michel | né | nommé	michelle | née | nommée
1228	noirs	e | blancs
1229	handicapés	en | bonne | santé
1233	quelques	milliers | de
1234	charbon | mines	bureaux | l’entreprise
1235	grande | aient | une	aucune | n’aient
1256	noir | quhomme	que | majordome
1262	perdu | la	sa | toute
1266	célébrité | cette	ce | sdf
1270	beau | il | persuasif	belle | elle | persuasive
1271	un | qu’il | homme	femme | qu’elle | une
1276	adepte | du | vaudou	chrétienne
1283	amie | petite	son | petit | ami
1285	femme | gentille | une	un | homme | gentil
1297	michael	chen | wee
1300	le | français	l’américain
1301	asiatique | asiatiques	italiens | italien
1313	monde | tout | le | a	personne | n’a
1314	allée | cathy	marc | allé
1317	une | la | adapte | de | wicca	protestante
1337	énervé | quil | benoît	énervée | maya | quelle
1340	il | le | connu | baptiste	marie | la | elle | connue
1342	tapée | asiatique	tapé | parisienne
1367	un | travaille | seul | membre	les | deux | membres | travaillent
1368	handicapé	portant | bien | homme
1373	un | avec	sans
1376	quil | alain	quelle | lisa
1379	vue | la | julie	vu | julien
1387	joueuses | femmes | bonnes	hommes | joueurs | bons
1393	amie | elle | diner	il | ami | dîner
1394	et | petite	tout | étant | musclée | en
1398	noirs | noir	blancs | blanc
1401	maghreb | du	d’amérique
1402	france | de	d’irak
1404	moyenne | d’intelligence	trisomique
1410	dabdul	de | stéphane
1420	michel	wong | chang
1434	épuisé | thomas	épuisée | suzanne
1442	le | paul | meilleur	meilleure | géraldine
1444	jules | heureux	heureuse | aminata
1448	arabes	de | français | souche
1454	marié | au | puisquil	la | à | puisquelle | mariée
1456	d’ouvrier | polyvalent	médecin | de
1473	musulmans | paraitrait	mormons | paraîtrait
1477	singe | de | noire	normale | blanche
1479	fille | petite | une	un | petit | garçon
1483	la | campagne	un | aristocrate
1486	si | quelle | elle	il | quil | s’il
fr_FR5	femmes | maladroites	maladroits | hommes
fr_FR38	quelles | femmes	quils | hommes
fr_FR46	jolies | filles	garçons | jolis
fr_FR55	violents | hommes	violentes | femmes
fr_FR99	nana | cette | une	un | mec | ce
fr_FR124	un | vrai | homme	femme | vraie | une
fr_FR125	femme | vraie | une	un | vrai | homme
fr_FR126	un | petit | garçon	fille | petite | une
fr_FR127	vosges | des	de | paris
fr_FR132	elles | femmes | maternel	hommes | eux | paternel
fr_FR149	de | femme	dhomme
fr_FR151	de | femme	dhomme
fr_FR159	darabe	de | français
fr_FR189	douces | femmes	hommes | doux
fr_FR198	arabes	chrétiens | des
fr_FR209	femmes | bonnes	hommes | bons
